body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.212481,-0.368489,0.390114,0.506957,-0.882347,0.323434,0.196859,-0.926630,0.015651,0.161877,-0.938797,0.019968,0.090484,-0.683514,0.312698,-0.075520,-0.641370,0.183624,0.042453,-0.627573,0.117698,0.093301,-0.544280,0.153164,2.118196,-0.395457,-0.377451,2.295045,-0.347165,-0.610842,2.402635,-0.425239,-0.596674,2.042563,-0.443293,0.763623,2.107672,-0.484842,0.262932,2.112044,-0.541380,0.347821
-0.378683,-0.383452,0.436570,0.291030,-1.077822,0.336048,-0.027517,-1.125499,0.033700,-0.005551,-1.117838,0.031151,-0.253190,-0.541244,0.397397,-0.491696,-0.542945,0.457694,-0.173501,-0.496710,0.257350,0.034183,-0.695267,0.145182,1.993820,-0.613557,-0.368064,2.277494,-0.525584,-0.723168,2.427601,-0.654201,-0.708165,1.946853,-0.465872,0.752569,2.104681,-0.421891,0.329469,2.109732,-0.479553,0.408489
-0.287126,-0.356379,0.370370,0.405697,-0.912836,0.278722,0.136984,-0.952173,0.022402,0.103292,-0.963949,0.026078,-0.054514,-0.412691,0.352378,-0.208489,-0.424577,0.432308,-0.010519,-0.373838,0.241337,0.058505,-0.642485,0.139091,2.006257,-0.562359,-0.370600,2.390146,-0.428184,-0.867391,2.581347,-0.620403,-0.855676,1.915305,-0.284926,0.750149,2.121385,-0.187587,0.400666,2.127015,-0.243644,0.471077
-0.168022,-0.309454,0.288553,0.465394,-0.652134,0.221776,0.240149,-0.682809,0.000315,0.184818,-0.702189,0.006004,0.130391,-0.227765,0.299714,0.038996,-0.240813,0.369881,0.130630,-0.188508,0.191378,0.152978,-0.496314,0.135947,2.021246,-0.455923,-0.353822,2.547336,-0.258153,-1.018420,2.773155,-0.529054,-1.018349,1.896060,0.013286,0.750346,2.179157,0.174885,0.463784,2.186048,0.116569,0.531233
-0.078449,-0.266211,0.234104,0.444613,-0.424743,0.194762,0.235195,-0.450281,-0.020995,0.203126,-0.461512,-0.017796,0.211889,-0.079600,0.269117,0.129448,-0.085566,0.305782,0.181232,-0.034102,0.135662,0.271924,-0.329620,0.138592,2.031390,-0.342541,-0.330963,2.671321,-0.091581,-1.103432,2.906012,-0.417200,-1.123430,1.899805,0.280064,0.755931,2.247265,0.495843,0.490318,2.256450,0.430340,0.560024
-0.004810,-0.224324,0.148722,0.409477,-0.255420,0.131110,0.210776,-0.281705,-0.058867,0.191767,-0.288354,-0.056999,0.250105,0.054615,0.206192,0.222425,0.047257,0.240590,0.219714,0.081868,0.130142,0.346380,-0.228270,0.093700,1.924929,-0.295795,-0.341848,2.635331,0.013018,-1.267812,2.874210,-0.381211,-1.314622,1.820209,0.437759,0.699310,2.231841,0.703454,0.512958,2.258449,0.649616,0.581088
0.044601,-0.177951,0.071387,0.370773,-0.141127,0.067444,0.193879,-0.166016,-0.090651,0.159163,-0.178091,-0.087248,0.244398,0.133166,0.138517,0.275792,0.121958,0.182510,0.229276,0.136529,0.139964,0.368714,-0.170011,0.037804,1.726143,-0.253408,-0.345260,2.542769,0.118834,-1.438341,2.800565,-0.339330,-1.517389,1.689925,0.515317,0.626355,2.166849,0.822729,0.539238,2.218207,0.789662,0.606120
0.061836,-0.120609,0.040843,0.339539,-0.076734,0.039776,0.211799,-0.089910,-0.094358,0.114019,-0.123730,-0.084821,0.193669,0.116102,0.092766,0.246242,0.103731,0.139891,0.190752,0.108338,0.129635,0.331375,-0.130828,0.005781,1.459741,-0.146735,-0.301054,2.490965,0.295522,-1.543958,2.806102,-0.203193,-1.660449,1.539458,0.547524,0.582407,2.080370,0.891852,0.577307,2.156699,0.877809,0.645971
0.052800,-0.073846,0.026592,0.276676,-0.064253,0.021746,0.177054,-0.070296,-0.100298,0.060622,-0.110337,-0.089066,0.122336,0.081607,0.061355,0.201421,0.068540,0.109472,0.130609,0.055966,0.155011,0.251489,-0.084549,0.002886,1.146663,-0.037948,-0.222813,2.286184,0.438840,-1.578765,2.610974,0.022517,-1.639284,1.257398,0.580728,0.538164,1.819853,0.925414,0.637704,1.906560,0.931178,0.698204
0.022166,-0.060922,0.035998,0.213895,-0.109372,0.022196,0.107201,-0.115941,-0.105783,0.025907,-0.143715,-0.098070,0.065965,0.047357,0.060350,0.163792,0.034502,0.106741,0.078895,0.006000,0.203841,0.169226,-0.053849,0.030437,0.943311,0.021418,-0.153300,2.029627,0.488955,-1.528383,2.316525,0.227500,-1.461554,0.983378,0.598624,0.520725,1.513334,0.909953,0.693588,1.590958,0.926338,0.739432
0.021314,-0.030493,0.041620,0.156102,-0.104490,0.024859,0.059559,-0.105109,-0.113519,-0.001219,-0.125728,-0.107866,0.018379,0.054708,0.061911,0.078573,0.044371,0.101256,0.009255,0.006797,0.226004,0.132040,0.038553,0.063113,0.764114,0.123788,-0.078625,1.786349,0.572812,-1.441223,2.034373,0.363164,-1.339226,0.744808,0.636691,0.485708,1.132011,0.842373,0.707457,1.168735,0.861402,0.723705
0.027873,-0.000014,0.039095,0.099273,-0.081105,0.022808,0.018806,-0.076653,-0.114107,-0.030742,-0.093329,-0.109607,-0.021001,0.072341,0.057682,-0.003384,0.062271,0.099310,-0.047968,0.019910,0.238372,0.109785,0.118138,0.068371,0.592983,0.208010,-0.032222,1.500443,0.629136,-1.352082,1.696245,0.425901,-1.263339,0.551373,0.666294,0.427540,0.805349,0.770929,0.689001,0.800006,0.792324,0.680659
0.019639,0.013065,0.024034,0.039476,-0.070682,0.008652,-0.030610,-0.069256,-0.098657,-0.072833,-0.083360,-0.094907,-0.052560,0.068996,0.039370,-0.030908,0.052862,0.106982,-0.061884,0.006828,0.257729,0.072995,0.110288,0.013940,0.415226,0.211302,-0.044413,1.122951,0.599436,-1.287147,1.246545,0.404836,-1.207045,0.411225,0.655643,0.348447,0.659509,0.742168,0.654180,0.642486,0.773500,0.644831
0.000572,0.038960,0.004378,-0.045812,-0.060655,-0.011979,-0.093535,-0.062752,-0.070868,-0.127416,-0.073998,-0.067917,-0.078397,0.048370,0.008949,-0.028126,0.025804,0.103373,-0.080306,-0.022210,0.262081,0.001879,0.144951,-0.038148,0.191086,0.255299,-0.050895,0.683273,0.607701,-1.189603,0.729334,0.429426,-1.115391,0.177820,0.676898,0.248351,0.466166,0.789876,0.556685,0.461540,0.818337,0.549184
-0.019792,0.064732,-0.009966,-0.113935,-0.055924,-0.028650,-0.138411,-0.060122,-0.044521,-0.167111,-0.069609,-0.042073,-0.085626,0.020811,-0.018231,0.003427,-0.005308,0.090455,-0.094205,-0.052841,0.249296,-0.068028,0.204937,-0.061603,0.032460,0.318690,-0.048550,0.396893,0.644695,-1.111891,0.397074,0.479101,-1.041137,-0.032220,0.719377,0.178545,0.321618,0.891675,0.443705,0.347561,0.906517,0.438916
-0.028131,0.049307,-0.008178,-0.170379,-0.084127,-0.027623,-0.112655,-0.061621,-0.048615,-0.131605,-0.067866,-0.047034,-0.136895,0.056675,-0.003139,-0.012989,0.023278,0.136313,-0.076644,-0.015691,0.265479,0.017736,0.120392,-0.094108,-0.020402,0.263810,-0.031391,0.035246,0.553596,-0.913311,-0.055561,0.417747,-0.844345,0.272931,0.569246,0.179497,0.924380,0.968243,0.408663,1.051660,1.010934,0.454947
-0.026504,0.033114,0.000346,-0.195613,-0.104876,-0.018638,-0.073419,-0.057487,-0.063212,-0.083732,-0.060871,-0.062363,-0.183338,0.096450,0.019825,-0.055708,0.061907,0.167651,-0.072755,0.030171,0.271559,0.102440,0.040742,-0.091862,-0.009669,0.200197,-0.002406,-0.157662,0.457951,-0.715306,-0.305860,0.350301,-0.647991,0.509661,0.404889,0.194039,1.348266,0.946786,0.394188,1.536713,1.008721,0.476359
-0.016922,0.056650,0.006456,-0.170142,-0.077531,-0.011929,-0.078235,-0.037152,-0.069206,-0.086699,-0.039916,-0.068521,-0.176189,0.080625,0.016912,-0.104440,0.058779,0.112391,-0.129871,0.023143,0.229240,0.030273,0.116849,-0.009419,0.023404,0.238053,0.036772,0.054089,0.461581,-0.650162,-0.041842,0.356711,-0.590822,0.098667,0.417728,0.154063,0.672352,0.777004,0.318675,0.767605,0.803904,0.360413
-0.007525,0.068437,0.019623,-0.133229,-0.063534,0.001031,-0.086723,-0.033637,-0.074596,-0.098659,-0.037514,-0.073652,-0.161926,0.052391,0.020821,-0.141783,0.044587,0.055358,-0.183253,0.005320,0.184899,-0.037069,0.133126,0.069201,0.007694,0.213447,0.086028,0.154517,0.403402,-0.559224,0.091979,0.303736,-0.507639,-0.187856,0.350691,0.130482,0.158749,0.559263,0.252101,0.173568,0.555235,0.260779
