body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.018017,-0.016620,-0.060144,0.062397,-0.014861,-0.095384,0.233244,0.081849,-0.118408,0.226983,0.079951,-0.084099,0.039493,0.033112,-0.012591,0.193653,0.056605,-0.007328,0.211085,0.059702,-0.006948,-0.164955,-0.006696,-0.059426,-0.169501,0.132478,-0.144611,-0.078178,0.536928,-0.070346,0.014440,0.911709,0.057028,-0.174871,0.175761,0.034475,-0.111140,0.563341,0.156668,-0.048716,0.874436,0.260783
-0.001050,-0.008454,-0.108907,0.095418,-0.041032,-0.156543,0.308558,0.013248,-0.136598,0.302050,0.016765,-0.046335,0.042111,0.003918,-0.078615,0.216588,-0.036967,-0.013786,0.285708,-0.018547,0.063841,-0.179628,0.034149,-0.107386,-0.177531,0.168692,-0.210892,-0.042677,0.555143,-0.129812,0.088729,0.928929,0.003006,-0.199406,0.212379,0.013951,-0.144712,0.583309,0.149212,-0.098548,0.887279,0.266838
-0.003499,-0.031503,-0.051571,0.079760,-0.040338,-0.088602,0.259176,0.038164,-0.096736,0.252857,0.037303,-0.048941,0.030652,-0.003286,-0.014629,0.176991,-0.008445,0.011282,0.243724,-0.000786,0.040405,-0.169314,-0.004797,-0.050423,-0.166676,0.129664,-0.139387,-0.034064,0.521653,-0.035686,0.101693,0.912943,0.128807,-0.198800,0.168046,0.064681,-0.186372,0.530459,0.207040,-0.182194,0.829258,0.342182
0.001825,-0.046661,-0.004376,0.062961,-0.035517,-0.029632,0.187372,0.055409,-0.058762,0.180371,0.051067,-0.050310,0.021586,-0.004586,0.036799,0.122736,0.023609,0.028116,0.182920,0.021635,0.015671,-0.130501,-0.052312,-0.002827,-0.125910,0.076663,-0.063243,-0.004687,0.475281,0.067661,0.130168,0.887315,0.273934,-0.170926,0.111298,0.090189,-0.219407,0.468409,0.237438,-0.273901,0.766923,0.395815
0.012360,-0.046271,0.009072,0.053422,-0.028553,-0.008910,0.128466,0.057693,-0.042278,0.119805,0.052480,-0.051422,0.019613,0.000916,0.049915,0.081535,0.044389,0.028114,0.134237,0.039460,0.001415,-0.082573,-0.084923,0.011769,-0.075630,0.035459,-0.017308,0.031545,0.435245,0.140266,0.162638,0.854932,0.387740,-0.130785,0.070081,0.081388,-0.231153,0.424252,0.237266,-0.333777,0.722857,0.421007
0.021200,-0.030276,0.013231,0.048608,-0.003870,0.000868,0.083797,0.075000,-0.032489,0.069712,0.067571,-0.050330,0.018966,0.013513,0.051909,0.045488,0.062275,0.018125,0.090789,0.053427,-0.023607,-0.049163,-0.091818,0.016373,-0.038827,0.021198,0.006549,0.071336,0.401390,0.178012,0.218077,0.809781,0.447575,-0.101070,0.043507,0.073015,-0.231765,0.378351,0.234813,-0.366186,0.665585,0.437265
0.023094,-0.013311,0.003694,0.041212,0.019894,-0.003425,0.049062,0.090772,-0.036339,0.030425,0.080638,-0.059365,0.015768,0.022596,0.037355,0.019143,0.068162,-0.002376,0.056816,0.056716,-0.052660,-0.030550,-0.085251,0.006608,-0.018913,0.018532,0.007081,0.095949,0.365682,0.183201,0.261766,0.756476,0.467624,-0.083007,0.028657,0.055814,-0.228666,0.336093,0.219662,-0.382684,0.605451,0.434742
0.012774,-0.010020,-0.023965,0.023670,0.024036,-0.024787,0.019073,0.088460,-0.060544,0.001420,0.076005,-0.090763,0.005869,0.017418,0.000610,0.006361,0.052618,-0.034059,0.035928,0.042171,-0.078779,-0.026653,-0.077448,-0.021705,-0.019433,0.012102,-0.015291,0.085419,0.318649,0.163215,0.257186,0.694670,0.471616,-0.078567,0.021965,0.022053,-0.232343,0.299921,0.185668,-0.399569,0.548010,0.409530
0.005769,-0.003910,-0.025338,0.013894,0.024772,-0.023064,0.006512,0.076229,-0.052611,-0.011820,0.063245,-0.077177,0.000479,0.013892,-0.009951,0.003162,0.034607,-0.037207,0.026834,0.025131,-0.073367,-0.019275,-0.055864,-0.023804,-0.017103,0.014594,-0.013100,0.074408,0.267507,0.154002,0.243152,0.601366,0.465089,-0.070070,0.027112,0.008866,-0.231273,0.253904,0.154721,-0.408530,0.457705,0.367994
0.005596,0.001973,0.000272,0.016711,0.021735,0.000938,0.017423,0.060226,-0.016555,-0.002977,0.048698,-0.025619,0.002237,0.013765,0.010991,0.011051,0.023085,-0.010164,0.034081,0.014189,-0.039111,-0.011977,-0.031363,0.001378,-0.012854,0.024289,0.014464,0.069210,0.234531,0.166790,0.228307,0.515787,0.462271,-0.062290,0.041120,0.024194,-0.227853,0.218206,0.146939,-0.407680,0.373580,0.338444
