body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-1.305015,-0.188513,0.820564,-1.421540,-0.183365,0.687706,-1.449337,-0.194556,0.382779,-1.340546,-0.486124,0.441776,-1.188636,-0.179943,0.687610,-1.186037,-0.159876,0.382140,-1.205242,-0.460363,0.472370,-1.305373,-0.195929,0.874194,-1.451617,-0.181856,1.105283,-1.484572,-0.168956,0.924077,-1.527008,-0.091106,0.763424,-1.170628,-0.177803,1.111927,-1.113162,-0.157679,0.938038,-1.106056,-0.071811,0.776054
-1.305575,-0.187902,0.818044,-1.423242,-0.184432,0.686110,-1.449499,-0.194175,0.381009,-1.340813,-0.485569,0.441029,-1.190387,-0.179138,0.684070,-1.189236,-0.160724,0.378487,-1.205115,-0.460353,0.471914,-1.305573,-0.194931,0.871725,-1.451424,-0.181124,1.103116,-1.484815,-0.160601,0.922698,-1.526964,-0.074839,0.766029,-1.170462,-0.176147,1.109255,-1.114223,-0.148107,0.936057,-1.108648,-0.055310,0.777880
-1.306146,-0.187689,0.816284,-1.424782,-0.185740,0.685160,-1.449688,-0.193784,0.379907,-1.341151,-0.485118,0.440481,-1.191996,-0.178773,0.681435,-1.192305,-0.161494,0.375784,-1.204967,-0.460477,0.471554,-1.305846,-0.194342,0.870009,-1.451486,-0.180640,1.101596,-1.485085,-0.152664,0.922225,-1.526616,-0.059008,0.769952,-1.170572,-0.174783,1.107456,-1.115839,-0.139132,0.935173,-1.112177,-0.039697,0.781024
-1.306741,-0.188271,0.816043,-1.426028,-0.187527,0.685472,-1.449899,-0.193439,0.380097,-1.341512,-0.484900,0.440369,-1.193308,-0.179266,0.680598,-1.195132,-0.162083,0.374948,-1.204809,-0.460934,0.471399,-1.306261,-0.194581,0.869806,-1.452058,-0.180671,1.101357,-1.485442,-0.145533,0.923216,-1.525742,-0.043834,0.775820,-1.171211,-0.174026,1.107385,-1.118405,-0.131305,0.936109,-1.117319,-0.025630,0.786128
-1.306975,-0.189026,0.816151,-1.426590,-0.189263,0.685862,-1.450195,-0.193603,0.380448,-1.341989,-0.485171,0.440553,-1.193924,-0.179974,0.680393,-1.197441,-0.162648,0.374765,-1.204601,-0.461433,0.471594,-1.306385,-0.195044,0.869946,-1.452132,-0.181391,1.101630,-1.485129,-0.139359,0.924923,-1.523872,-0.029527,0.783019,-1.171358,-0.173956,1.107588,-1.121180,-0.124450,0.937347,-1.123460,-0.012659,0.791881
-1.307029,-0.189866,0.816435,-1.426812,-0.190975,0.686292,-1.450537,-0.194028,0.380879,-1.342517,-0.485687,0.440889,-1.194192,-0.180790,0.680503,-1.199497,-0.163209,0.374916,-1.204368,-0.461959,0.471969,-1.306366,-0.195620,0.870257,-1.451952,-0.182455,1.102169,-1.484467,-0.133692,0.927118,-1.521400,-0.015865,0.791241,-1.171257,-0.174232,1.107933,-1.124107,-0.118127,0.938874,-1.130166,-0.000431,0.798254
-1.306794,-0.190210,0.816699,-1.426504,-0.191830,0.686487,-1.450529,-0.194117,0.381097,-1.343020,-0.485898,0.441437,-1.193896,-0.181325,0.680807,-1.201058,-0.163599,0.375267,-1.204142,-0.462469,0.472052,-1.306155,-0.195752,0.870543,-1.451815,-0.183024,1.102528,-1.483232,-0.128475,0.929001,-1.517317,-0.003340,0.799010,-1.171191,-0.174510,1.108419,-1.126989,-0.112697,0.940555,-1.136992,0.010374,0.804839
-1.306639,-0.190529,0.816593,-1.426242,-0.192533,0.686281,-1.450490,-0.194005,0.380909,-1.343511,-0.485961,0.441376,-1.193641,-0.181810,0.680777,-1.202261,-0.163992,0.375279,-1.203856,-0.462986,0.471752,-1.306046,-0.195898,0.870455,-1.451890,-0.183592,1.102439,-1.482247,-0.123855,0.930450,-1.513256,0.008280,0.806726,-1.171338,-0.174891,1.108604,-1.130013,-0.107724,0.942066,-1.144006,0.020394,0.811457
-1.306646,-0.190796,0.815745,-1.426072,-0.192928,0.685269,-1.450381,-0.193490,0.379903,-1.343973,-0.485728,0.440094,-1.193465,-0.182196,0.680075,-1.202742,-0.164376,0.374597,-1.203449,-0.463511,0.470682,-1.306140,-0.196074,0.869617,-1.452394,-0.184151,1.101437,-1.481807,-0.120356,0.930762,-1.509393,0.018473,0.813676,-1.171910,-0.175471,1.108175,-1.133233,-0.103579,0.942977,-1.151262,0.029193,0.817594
-1.306631,-0.190844,0.815580,-1.425984,-0.193108,0.685038,-1.450141,-0.192910,0.379663,-1.344402,-0.485405,0.439836,-1.193378,-0.182308,0.679968,-1.203177,-0.164579,0.374501,-1.203067,-0.463874,0.470145,-1.306156,-0.196050,0.869460,-1.452533,-0.184431,1.101284,-1.481438,-0.117390,0.931784,-1.505753,0.027025,0.820837,-1.172106,-0.175592,1.108219,-1.136257,-0.100075,0.944002,-1.158487,0.036222,0.823136
