body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.706741,-0.022829,0.022439,-0.706747,-0.699515,-0.103448,-0.013111,-0.706969,-0.328160,0.610223,-0.478709,-0.539236,-0.328375,0.565500,-0.335487,-0.678106,-0.702742,-0.078779,0.090838,-0.701210,-0.426130,0.556314,-0.591447,-0.398897,-0.605799,0.379016,-0.452145,-0.533778,-0.702639,0.025598,-0.008683,-0.711032,-0.705364,-0.039626,-0.048881,-0.706047,-0.522373,0.327866,-0.325779,-0.716587,-0.470781,0.428773,-0.402364,-0.657740,-0.686820,0.105155,0.126485,-0.707971,-0.480137,0.498052,-0.128939,-0.710484,-0.478009,0.594628,-0.198647,-0.615194
-0.703520,-0.023311,0.016837,-0.710093,-0.696575,-0.103175,-0.009105,-0.709968,-0.329417,0.612660,-0.477306,-0.536946,-0.329240,0.568132,-0.333962,-0.676237,-0.700127,-0.078822,0.087012,-0.704300,-0.419845,0.560560,-0.591850,-0.399019,-0.602384,0.379940,-0.453676,-0.535685,-0.701466,0.024418,-0.008782,-0.712230,-0.706774,-0.055402,-0.035583,-0.704369,-0.533616,0.311903,-0.312734,-0.721227,-0.484671,0.413721,-0.389697,-0.664880,-0.683635,0.088396,0.139535,-0.710886,-0.487996,0.485901,-0.113472,-0.716159,-0.487678,0.583509,-0.184093,-0.622734
-0.700591,-0.023477,0.011758,-0.713080,-0.693899,-0.103390,-0.005075,-0.712593,-0.330959,0.614565,-0.475775,-0.535178,-0.330247,0.570420,-0.332393,-0.674592,-0.697662,-0.079510,0.083756,-0.707057,-0.414412,0.564056,-0.591765,-0.399897,-0.599243,0.380385,-0.454950,-0.537806,-0.700337,0.023747,-0.008815,-0.713363,-0.707955,-0.070597,-0.022269,-0.702367,-0.545365,0.295363,-0.299580,-0.724975,-0.499338,0.398082,-0.376591,-0.671098,-0.680194,0.071744,0.151715,-0.713562,-0.495044,0.473102,-0.098457,-0.722089,-0.496518,0.571791,-0.169913,-0.630598
-0.698293,-0.023013,0.007723,-0.715401,-0.691701,-0.104472,-0.001006,-0.714587,-0.332980,0.615572,-0.473931,-0.534401,-0.331419,0.572176,-0.330704,-0.673358,-0.695539,-0.081478,0.081625,-0.709171,-0.410690,0.566077,-0.590791,-0.402314,-0.596664,0.379885,-0.455728,-0.540362,-0.699308,0.024066,-0.008704,-0.714363,-0.708995,-0.084641,-0.008846,-0.700060,-0.558466,0.277890,-0.286247,-0.727293,-0.515888,0.381550,-0.362706,-0.675813,-0.676544,0.055358,0.162272,-0.716164,-0.500715,0.459431,-0.084193,-0.728779,-0.503953,0.559315,-0.156372,-0.639333
-0.696494,-0.022039,0.004901,-0.717207,-0.689875,-0.105789,0.001544,-0.716156,-0.334084,0.615960,-0.473128,-0.533977,-0.332108,0.572987,-0.329991,-0.672679,-0.693695,-0.083830,0.079675,-0.710923,-0.407435,0.567232,-0.590213,-0.404837,-0.594361,0.378878,-0.456964,-0.542558,-0.698279,0.023443,-0.008264,-0.715394,-0.709589,-0.098050,0.004367,-0.697746,-0.572167,0.259114,-0.272550,-0.728836,-0.533461,0.363916,-0.348112,-0.679561,-0.672905,0.038091,0.171110,-0.718658,-0.505884,0.443620,-0.070826,-0.736387,-0.510749,0.544935,-0.143621,-0.649272
-0.694944,-0.020808,0.002685,-0.718758,-0.688224,-0.107223,0.003331,-0.717523,-0.334715,0.616048,-0.472840,-0.533735,-0.332537,0.573332,-0.329763,-0.672284,-0.691982,-0.086373,0.077805,-0.712493,-0.404402,0.567958,-0.589830,-0.407410,-0.592183,0.377625,-0.458434,-0.544571,-0.697253,0.022345,-0.007664,-0.716435,-0.709880,-0.111158,0.017452,-0.695277,-0.585907,0.239476,-0.258605,-0.729718,-0.551325,0.345451,-0.333102,-0.682457,-0.669058,0.020381,0.179042,-0.721034,-0.510532,0.426610,-0.057909,-0.744317,-0.516976,0.529461,-0.131220,-0.659688
-0.694347,-0.019236,0.001467,-0.719382,-0.687468,-0.108266,0.004262,-0.718087,-0.334985,0.615943,-0.473516,-0.533087,-0.332834,0.573461,-0.330537,-0.671647,-0.691050,-0.088863,0.075741,-0.713314,-0.402121,0.567744,-0.589656,-0.410208,-0.589957,0.376559,-0.459676,-0.546674,-0.696890,0.021441,-0.006490,-0.716828,-0.710451,-0.121445,0.029701,-0.692552,-0.600866,0.220544,-0.246193,-0.727812,-0.570641,0.327824,-0.319276,-0.681882,-0.665819,0.004302,0.185508,-0.722671,-0.514277,0.409606,-0.045956,-0.752084,-0.522310,0.513628,-0.119590,-0.670131
-0.693895,-0.017825,0.000612,-0.719856,-0.686843,-0.109282,0.005306,-0.718523,-0.335504,0.615698,-0.474013,-0.532602,-0.333149,0.573706,-0.331289,-0.670911,-0.690295,-0.090824,0.074076,-0.713973,-0.400362,0.567589,-0.589364,-0.412558,-0.588087,0.375841,-0.460532,-0.548460,-0.696688,0.020712,-0.005140,-0.717057,-0.710863,-0.130782,0.040708,-0.689864,-0.615703,0.200770,-0.234242,-0.725074,-0.590098,0.309093,-0.305564,-0.680350,-0.662488,-0.011005,0.191574,-0.724078,-0.517380,0.392613,-0.034095,-0.759612,-0.527052,0.497598,-0.107894,-0.680420
-0.693736,-0.016738,0.000482,-0.720035,-0.686486,-0.110235,0.006580,-0.718708,-0.336534,0.615177,-0.474145,-0.532436,-0.333508,0.574191,-0.331992,-0.669969,-0.689910,-0.091724,0.073222,-0.714317,-0.399663,0.567560,-0.588844,-0.414013,-0.586952,0.375817,-0.460617,-0.549619,-0.696808,0.020336,-0.003437,-0.716961,-0.711151,-0.138212,0.049267,-0.687557,-0.630773,0.179755,-0.223289,-0.721080,-0.610238,0.288694,-0.292141,-0.677435,-0.659383,-0.024771,0.196919,-0.725137,-0.519692,0.375864,-0.022451,-0.766905,-0.531068,0.481422,-0.096183,-0.690615
-0.693494,-0.016073,0.000206,-0.720283,-0.686156,-0.110757,0.007937,-0.718930,-0.337582,0.614930,-0.474379,-0.531849,-0.334103,0.574732,-0.332607,-0.668903,-0.689542,-0.092357,0.072415,-0.714674,-0.399170,0.567554,-0.588223,-0.415378,-0.585630,0.376378,-0.460258,-0.550944,-0.696660,0.019850,-0.002529,-0.717122,-0.711077,-0.144873,0.055516,-0.685783,-0.644174,0.159854,-0.214660,-0.716524,-0.626391,0.268664,-0.281932,-0.675255,-0.656509,-0.036817,0.199709,-0.726469,-0.519911,0.360755,-0.013215,-0.774192,-0.532717,0.466868,-0.086753,-0.700515
