joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.110651,-0.001535,0.013944,0.164813,-0.017733,-0.023333,0.313981,-0.060374,0.112685,1.775933,1.961191,-0.036867,-0.077038,-0.315925,-0.633887,0.149156,-0.306144,-0.261800,0.084561,0.244289,0.505952,0.973208,0.913928,0.009631,0.036663,0.297916,0.300000,-0.004546,-0.050000
0.097503,-0.003307,0.007921,0.149786,-0.021678,-0.030236,0.306817,-0.059272,0.104041,1.781852,1.966518,-0.077475,-0.117614,-0.316788,-0.640993,0.150762,-0.303516,-0.261800,0.088824,0.238806,0.496561,0.967287,0.914123,0.008105,0.034651,0.295824,0.300000,-0.006474,-0.050000
0.084094,-0.006508,0.002675,0.136529,-0.024273,-0.036727,0.300368,-0.057910,0.096285,1.787200,1.970718,-0.117902,-0.157535,-0.316862,-0.646512,0.152261,-0.299217,-0.261800,0.092943,0.231566,0.487817,0.959755,0.913219,0.006106,0.032745,0.293367,0.300000,-0.009071,-0.050000
0.070141,-0.012579,-0.001018,0.126803,-0.024164,-0.042401,0.295339,-0.056024,0.090300,1.791411,1.972668,-0.158024,-0.196198,-0.315353,-0.648859,0.153544,-0.291561,-0.261800,0.096780,0.220791,0.480361,0.948986,0.910112,0.003158,0.031044,0.290172,0.299999,-0.013009,-0.050000
0.059052,-0.018509,-0.003357,0.122042,-0.021219,-0.044750,0.290520,-0.055066,0.083488,1.795211,1.974382,-0.195169,-0.232055,-0.314505,-0.650175,0.153261,-0.281120,-0.261800,0.100385,0.207273,0.472626,0.934815,0.904814,-0.000405,0.029167,0.286866,0.299997,-0.018062,-0.050000
0.049385,-0.024373,-0.005020,0.119758,-0.016853,-0.045439,0.285802,-0.054571,0.076256,1.798809,1.975980,-0.230855,-0.266540,-0.313988,-0.650977,0.152195,-0.269279,-0.261800,0.103876,0.192373,0.464747,0.918933,0.898417,-0.004277,0.027201,0.283502,0.299994,-0.023676,-0.050000
0.042521,-0.029019,-0.005824,0.120210,-0.010116,-0.045378,0.282070,-0.053676,0.069385,1.802325,1.975512,-0.260620,-0.296505,-0.313696,-0.650129,0.149538,-0.256255,-0.261800,0.105015,0.172611,0.458774,0.901192,0.889075,-0.009042,0.025623,0.280217,0.299199,-0.030828,-0.050000
0.036294,-0.032737,-0.006630,0.120777,-0.004363,-0.045540,0.278722,-0.052728,0.063245,1.805207,1.974765,-0.287203,-0.324997,-0.312511,-0.649152,0.147829,-0.243175,-0.261800,0.105712,0.150951,0.453445,0.880402,0.878429,-0.014134,0.024174,0.276068,0.298002,-0.038477,-0.050000
0.031357,-0.034589,-0.007439,0.121571,-0.000589,-0.046144,0.276151,-0.051671,0.058579,1.806813,1.973462,-0.307373,-0.350492,-0.309540,-0.647921,0.148020,-0.230009,-0.261800,0.105519,0.125534,0.449415,0.853550,0.865194,-0.019872,0.022984,0.270201,0.296003,-0.047103,-0.050000
0.027329,-0.035717,-0.007748,0.120826,0.001918,-0.046225,0.273403,-0.050640,0.055286,1.808594,1.971662,-0.324157,-0.370745,-0.307566,-0.646267,0.149057,-0.216856,-0.261800,0.103904,0.099476,0.447691,0.828120,0.852371,-0.025378,0.022287,0.264936,0.294210,-0.049988,-0.050000
0.023757,-0.036483,-0.007806,0.119309,0.003791,-0.046043,0.270568,-0.049622,0.052681,1.810462,1.969612,-0.339241,-0.388370,-0.306090,-0.644401,0.150516,-0.203712,-0.261800,0.101578,0.073105,0.447120,0.803406,0.839758,-0.030767,0.021838,0.259974,0.292522,-0.050000,-0.049999
0.022044,-0.035715,-0.007054,0.117610,0.005423,-0.043582,0.267442,-0.048932,0.050788,1.811759,1.969311,-0.350117,-0.400060,-0.304989,-0.643324,0.152070,-0.192370,-0.261800,0.098787,0.047449,0.449883,0.780597,0.832841,-0.035622,0.022214,0.255970,0.292434,-0.050000,-0.049973
0.021019,-0.034629,-0.006812,0.115902,0.006844,-0.041400,0.264731,-0.047885,0.049274,1.812975,1.968969,-0.359034,-0.410332,-0.303991,-0.642420,0.153825,-0.180978,-0.261800,0.095828,0.022617,0.453317,0.760516,0.825913,-0.040223,0.022715,0.252859,0.292415,-0.050000,-0.049837
0.021374,-0.032908,-0.007589,0.114177,0.007841,-0.039776,0.262846,-0.046122,0.048514,1.814031,1.968546,-0.364040,-0.417776,-0.303202,-0.641863,0.155982,-0.169477,-0.261800,0.092530,-0.000591,0.458095,0.745875,0.818959,-0.044317,0.023465,0.251532,0.292533,-0.050000,-0.049480
0.023022,-0.031485,-0.008613,0.111935,0.007362,-0.037204,0.262178,-0.043930,0.049046,1.814613,1.967103,-0.366582,-0.421236,-0.302558,-0.640094,0.158303,-0.158291,-0.261800,0.089275,-0.022069,0.461079,0.734745,0.810251,-0.048017,0.023784,0.251339,0.292126,-0.050000,-0.049607
0.025316,-0.030212,-0.009760,0.109435,0.006148,-0.034160,0.262118,-0.041523,0.050221,1.814958,1.965150,-0.367889,-0.422706,-0.301989,-0.637721,0.160706,-0.147263,-0.261800,0.086043,-0.042678,0.463164,0.725374,0.800666,-0.051518,0.023886,0.251715,0.291455,-0.050000,-0.049976
0.028905,-0.027147,-0.012145,0.106753,0.007845,-0.034504,0.261523,-0.038020,0.047051,1.812080,1.962355,-0.364574,-0.434795,-0.301758,-0.637359,0.164427,-0.139252,-0.261800,0.083972,-0.058518,0.460064,0.727314,0.778364,-0.054053,0.022847,0.255067,0.286555,-0.050000,-0.049990
0.032280,-0.024031,-0.013519,0.104115,0.009006,-0.034092,0.260721,-0.035262,0.044974,1.809600,1.960279,-0.362751,-0.442057,-0.301553,-0.636876,0.167575,-0.131973,-0.261800,0.081726,-0.073535,0.457931,0.726909,0.760271,-0.056525,0.022058,0.257703,0.283065,-0.050000,-0.049999
