joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.719462,-0.303000,-0.232124,-0.518133,-0.324365,-0.194836,-0.346547,-0.132523,-0.303304,0.269735,0.168616,-2.093028,-2.044526,0.037289,-0.116724,0.152097,0.048931,0.000000,0.069497,-0.208819,-0.493164,-0.210889,0.115955,-0.058047,-0.102087,-0.083537,0.000000,-0.071360,0.000000
-0.663917,-0.124324,-0.281731,-0.707095,-0.163478,-0.334834,-0.340333,0.061609,-0.409990,0.281662,0.238177,-2.025895,-2.012425,-0.023402,-0.315616,0.077620,0.173188,0.000000,0.209549,-0.318096,-0.453368,-0.336339,-0.017738,-0.088106,-0.097951,-0.113718,-0.000005,-0.113113,-0.000001
-0.684044,-0.231816,-0.223486,-0.574570,-0.062163,-0.304139,-0.286955,0.081207,-0.343509,0.238979,0.153765,-2.013729,-1.964590,0.035880,-0.196657,0.069552,0.298891,0.000000,0.198904,-0.450386,-0.405005,-0.457522,-0.100264,-0.123685,-0.090177,-0.141298,-0.000025,-0.163380,0.000001
-0.626043,-0.300035,-0.150809,-0.362182,0.076336,-0.200587,-0.246182,0.071106,-0.319935,0.200289,0.091600,-1.931658,-1.863015,0.058903,-0.091577,0.025017,0.452421,0.000000,0.186037,-0.607314,-0.379775,-0.623494,-0.210111,-0.162782,-0.089430,-0.162513,-0.000070,-0.224797,0.000001
-0.518900,-0.294850,-0.100045,-0.176116,0.182782,-0.075927,-0.238428,0.036341,-0.351103,0.184962,0.082800,-1.820777,-1.758558,0.034130,-0.052942,-0.033736,0.557037,0.000000,0.177392,-0.710443,-0.390333,-0.751314,-0.292370,-0.185854,-0.096094,-0.166756,-0.000117,-0.266667,-0.000002
-0.413297,-0.262756,-0.061664,-0.045785,0.277580,-0.015698,-0.211262,0.034738,-0.352568,0.177854,0.028229,-1.636279,-1.611241,0.020225,0.001156,-0.093095,0.621635,0.000000,0.115770,-0.866543,-0.346319,-0.840566,-0.393477,-0.215928,-0.088604,-0.166240,-0.019936,-0.319151,-0.000001
-0.327279,-0.209083,-0.040233,0.025467,0.312256,-0.002526,-0.176995,0.046075,-0.325273,0.159931,-0.030392,-1.408684,-1.461429,0.036914,0.045608,-0.109157,0.652604,0.000000,0.045891,-1.035552,-0.282560,-0.963277,-0.499707,-0.246447,-0.075661,-0.185848,-0.049796,-0.370010,0.000001
-0.279084,-0.139230,-0.040388,0.034023,0.238166,-0.019157,-0.147974,0.050132,-0.270149,0.112191,-0.051230,-1.168834,-1.349670,0.103903,0.055200,-0.037938,0.656136,0.000000,0.012592,-1.176943,-0.233952,-1.191062,-0.597027,-0.270760,-0.065975,-0.250406,-0.079909,-0.406853,0.000000
-0.224130,-0.074510,-0.027959,0.001214,0.157028,-0.017134,-0.132981,0.052186,-0.198977,0.084686,-0.077569,-0.923854,-1.143694,0.123636,0.072147,0.030696,0.657977,0.000000,-0.045177,-1.286867,-0.143857,-1.307063,-0.651443,-0.281096,-0.047169,-0.278313,-0.094800,-0.287780,0.000010
-0.189999,-0.047350,-0.009168,-0.056553,0.109515,0.002544,-0.139579,0.051225,-0.147451,0.091231,-0.096247,-0.796705,-0.946961,0.086253,0.087987,0.062392,0.657430,0.000000,-0.098521,-1.310727,-0.057398,-1.253603,-0.635898,-0.272372,-0.028666,-0.255676,-0.087030,-0.072436,0.000025
