body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.031711,-1.542777,-0.116021,0.100138,-2.846501,-0.134930,0.068388,-4.138583,0.207480,-0.422659,-2.069034,0.141665,0.200669,-1.559872,-0.142306,0.085483,-5.113093,0.011356,0.016344,-4.078002,-0.014713,-0.195088,-2.998424,-0.608795,-0.795466,-0.586620,-1.710436,-0.651657,-6.211581,2.151671,-0.861788,-8.242877,3.035173,0.465661,-1.544685,0.007303,0.533839,-3.010554,-1.198980,0.714734,-3.603097,-1.470839
0.023937,-1.543105,-0.113494,0.075881,-2.760713,-0.127492,0.054487,-3.954311,0.192063,-0.437391,-2.029276,0.132018,0.169594,-1.617602,-0.142543,0.073028,-4.821994,0.004255,0.005601,-3.847739,-0.022616,-0.226929,-2.963396,-0.502892,-0.690419,-0.561236,-1.514546,-0.403465,-5.680774,2.186272,-0.559067,-7.511867,2.977485,0.359709,-1.586014,0.031320,0.366195,-2.977168,-1.128247,0.533698,-3.546474,-1.388442
0.017120,-1.285606,0.004513,0.030564,-2.244126,-0.004590,0.020717,-3.142879,0.242347,-0.444070,-1.645409,0.181474,0.094964,-1.530927,-0.018134,0.043352,-3.688172,0.114911,-0.021185,-2.896499,0.089107,-0.217326,-2.604972,-0.109741,-0.281632,-0.273215,-0.933002,0.078732,-4.145584,1.915275,0.037056,-5.380703,2.397655,0.079582,-1.459189,0.262904,0.041692,-2.653849,-0.716960,0.204983,-3.147021,-0.934291
-0.013248,-1.036848,0.065126,-0.054358,-1.767801,0.058272,-0.057229,-2.382020,0.260104,-0.503079,-1.411584,0.188677,0.003854,-1.480375,0.051345,-0.013460,-2.593985,0.136242,-0.087068,-2.042145,0.109140,-0.213616,-2.236050,0.166173,-0.037738,-0.162312,-0.489187,0.310828,-2.881637,1.505128,0.311449,-3.464604,1.644373,-0.131634,-1.347471,0.413121,-0.175395,-2.302112,-0.363983,-0.000992,-2.704325,-0.526461
-0.058255,-0.921726,0.038879,-0.145864,-1.570572,0.032267,-0.145943,-2.052616,0.239759,-0.593885,-1.446342,0.156226,-0.065484,-1.492031,0.028475,-0.078318,-2.087574,0.052730,-0.165934,-1.712739,0.022422,-0.246052,-2.040297,0.195009,-0.103306,-0.272300,-0.368329,0.231288,-2.447580,1.276543,0.191121,-2.650797,1.215261,-0.180351,-1.304352,0.395560,-0.219504,-2.087214,-0.267251,-0.032557,-2.430181,-0.393002
-0.041312,-0.827929,0.037679,-0.104841,-1.497001,0.031980,-0.105994,-1.757567,0.275674,-0.491851,-1.297162,0.203459,-0.005603,-1.545684,0.013877,-0.005305,-1.656896,0.028977,-0.106477,-1.460636,-0.004336,-0.173199,-1.852966,0.173634,-0.076874,-0.433781,-0.283773,0.216556,-2.101348,1.050653,0.159988,-2.181118,0.917770,-0.052551,-1.288597,0.339000,-0.080361,-1.882850,-0.211032,0.024516,-2.155852,-0.289940
-0.013073,-0.752508,0.053699,-0.038855,-1.472249,0.049442,-0.042961,-1.535928,0.303151,-0.348723,-1.140194,0.250075,0.072839,-1.587181,0.016674,0.084120,-1.341499,0.033192,-0.023699,-1.316370,-0.000845,-0.100370,-1.660450,0.136101,-0.030540,-0.541079,-0.226413,0.215492,-1.815369,0.865787,0.160392,-1.897019,0.729888,0.076819,-1.243225,0.273366,0.060449,-1.680929,-0.186774,0.074137,-1.894459,-0.228255
-0.025085,-0.692993,0.077783,-0.057097,-1.422062,0.074153,-0.060952,-1.427389,0.255725,-0.309349,-1.151608,0.212442,0.057705,-1.562910,0.042370,0.065449,-1.181366,0.029525,-0.034847,-1.310838,-0.001564,-0.127651,-1.450924,0.119103,-0.035590,-0.490348,-0.186342,0.194886,-1.566445,0.752292,0.144487,-1.644375,0.622480,0.035331,-1.114352,0.231823,0.022143,-1.479501,-0.179399,0.021199,-1.667832,-0.206721
-0.055382,-0.631196,0.082483,-0.129709,-1.324734,0.078452,-0.132425,-1.315777,0.179640,-0.348011,-1.194922,0.137704,-0.018828,-1.542776,0.058768,-0.012347,-1.006285,0.023800,-0.087049,-1.263958,0.000368,-0.161933,-1.254261,0.109334,-0.092840,-0.487390,-0.136421,0.103718,-1.333044,0.639498,0.056079,-1.408786,0.513117,-0.042799,-1.005304,0.191146,-0.052338,-1.290242,-0.159589,-0.061777,-1.450999,-0.171868
-0.088628,-0.598145,0.065620,-0.220514,-1.229162,0.060202,-0.220792,-1.256936,0.113089,-0.445754,-1.249622,0.064158,-0.118633,-1.537135,0.057134,-0.110492,-0.904154,0.018043,-0.154549,-1.199557,0.003848,-0.183107,-1.168998,0.111967,-0.171974,-0.533358,-0.099063,0.001916,-1.229430,0.586009,-0.045057,-1.305896,0.458371,-0.116400,-0.970551,0.171775,-0.124472,-1.207284,-0.137548,-0.132129,-1.351963,-0.141369
