body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.059760,-0.003262,-0.063761,-0.159582,-0.012398,-0.038529,-0.114991,-0.004169,-0.026265,-0.005456,-0.017213,0.061864,-0.265614,0.000971,-0.022104,-0.398435,0.013065,-0.034901,-0.037395,0.000659,0.073256,0.182504,0.099901,-0.047509,-0.107598,0.036829,-0.050934,-0.235970,-0.237502,-0.144724,0.509258,-0.528343,-0.366999,0.172671,0.140650,-0.119044,0.019217,0.208285,-0.119072,0.090655,0.306298,-0.110354
-0.032683,0.002835,-0.074060,-0.125283,-0.007622,-0.047714,-0.093284,0.001432,-0.037552,0.001015,-0.010111,0.046225,-0.223383,0.004988,-0.031053,-0.352828,0.016496,-0.025400,-0.036000,0.005844,0.083908,0.190498,0.101675,-0.067823,-0.077312,0.056159,-0.058893,-0.209444,-0.164342,-0.119512,0.498146,-0.384657,-0.265385,0.163580,0.137349,-0.139562,0.021926,0.185301,-0.140575,0.097867,0.253736,-0.137249
0.044290,0.021998,-0.079862,-0.028121,0.008108,-0.055443,-0.031302,0.017874,-0.057720,0.020060,0.008145,0.002966,-0.104734,0.015967,-0.048869,-0.211878,0.023323,-0.039166,-0.016118,0.017760,0.039717,0.205322,0.096634,-0.086027,0.010019,0.080443,-0.083233,-0.132053,-0.027442,-0.134031,0.376136,-0.129777,-0.225651,0.132285,0.117110,-0.152580,0.022470,0.119396,-0.165844,0.107200,0.130405,-0.176109
0.093704,0.022647,-0.063449,0.037123,0.009413,-0.045584,0.007379,0.018307,-0.058109,0.026947,0.009735,-0.022309,-0.006429,0.014664,-0.045350,-0.082015,0.019255,-0.042057,0.001650,0.018435,-0.001317,0.198893,0.066652,-0.077405,0.069353,0.066530,-0.084076,-0.064793,0.035435,-0.130508,0.241336,0.008514,-0.198268,0.100799,0.075223,-0.130185,0.024752,0.053411,-0.148245,0.110258,0.035157,-0.164761
0.092995,0.004501,-0.047677,0.040181,-0.004205,-0.036706,0.005200,0.003427,-0.050955,0.019228,-0.004420,-0.027544,0.025344,0.002589,-0.033753,-0.027620,0.007643,-0.033869,0.006342,0.007851,-0.012965,0.177727,0.029039,-0.064618,0.074639,0.029021,-0.071407,-0.036352,0.012518,-0.104513,0.181511,0.003219,-0.155098,0.087061,0.035694,-0.103488,0.030344,0.021107,-0.115088,0.108649,0.009645,-0.128599
0.081010,-0.019820,-0.020998,0.044308,-0.027932,-0.011431,0.021421,-0.012092,-0.020246,0.019736,-0.013822,-0.005950,0.042255,-0.019298,-0.019577,0.016929,-0.004109,-0.022652,0.009289,0.003474,-0.019893,0.153189,-0.001989,-0.039042,0.072583,-0.002613,-0.043248,-0.012586,-0.014167,-0.063706,0.149142,-0.017523,-0.100466,0.079074,0.006687,-0.065658,0.041645,0.008617,-0.067560,0.109143,0.009595,-0.074832
0.059838,-0.040855,0.005481,0.042093,-0.049374,0.014536,0.038083,-0.025760,0.013631,0.024962,-0.021891,0.022553,0.042144,-0.039582,-0.004847,0.042342,-0.013341,-0.009178,0.008847,0.002136,-0.019405,0.129163,-0.023219,-0.011450,0.065190,-0.023712,-0.012213,-0.002559,-0.033686,-0.024357,0.123184,-0.035439,-0.050849,0.072431,-0.012138,-0.030488,0.046356,0.003036,-0.025322,0.100043,0.013465,-0.027013
0.031159,-0.048284,0.022669,0.025622,-0.055292,0.027829,0.036884,-0.033827,0.033216,0.030982,-0.029601,0.040790,0.022579,-0.045886,0.010385,0.039272,-0.016731,0.007299,0.003537,0.000859,-0.007811,0.108744,-0.032219,0.009195,0.054199,-0.030554,0.011546,-0.015495,-0.033857,0.001428,0.081782,-0.028992,-0.022130,0.061085,-0.022488,-0.008707,0.030760,-0.009680,-0.004336,0.068960,-0.001314,-0.004709
0.003673,-0.041254,0.034638,0.002910,-0.046751,0.034708,0.020580,-0.037473,0.042462,0.023698,-0.038751,0.047757,0.007740,-0.038324,0.021988,0.041381,-0.014890,0.020025,-0.000032,0.000089,-0.000068,0.086421,-0.034349,0.024515,0.044786,-0.033249,0.026535,-0.019836,-0.034375,0.019844,0.051087,-0.028587,0.001841,0.047612,-0.027357,0.011919,0.016326,-0.017134,0.015420,0.040843,-0.010732,0.015854
-0.008909,-0.023310,0.034851,-0.014684,-0.028066,0.031295,-0.002679,-0.034854,0.036265,0.006800,-0.044619,0.039608,0.005057,-0.020679,0.023839,0.047670,-0.008814,0.022514,-0.000011,0.000045,-0.000052,0.073255,-0.029249,0.025534,0.041544,-0.031123,0.023917,-0.013414,-0.034028,0.020663,0.046524,-0.030491,0.007137,0.038631,-0.025167,0.020224,0.010078,-0.016254,0.023452,0.029508,-0.010627,0.024066
