body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.014889,0.039513,0.804999,0.023088,-0.074884,0.670584,0.092167,-0.062571,0.372597,0.215671,-0.049813,0.080389,0.029282,0.157987,0.674451,0.036246,0.161925,0.368415,0.138860,0.159495,0.067913,0.014894,0.038861,0.859138,-0.045455,-0.098910,1.088216,0.015309,-0.173923,0.930831,-0.066470,-0.253403,0.786304,-0.035548,0.181931,1.087098,0.000253,0.256649,0.922186,-0.018160,0.330767,0.754391
0.016158,0.039631,0.803908,0.020456,-0.075126,0.669719,0.087665,-0.062652,0.371310,0.216067,-0.049808,0.081311,0.026606,0.157781,0.672693,0.023733,0.162340,0.366599,0.137602,0.159580,0.070203,0.017929,0.039134,0.858018,-0.043951,-0.096263,1.087989,0.006013,-0.176508,0.929377,-0.061438,-0.261640,0.781005,-0.030366,0.184452,1.085013,0.000094,0.260376,0.919572,-0.016447,0.336115,0.752296
0.018260,0.039959,0.802233,0.019200,-0.075113,0.668347,0.084508,-0.062562,0.369519,0.216713,-0.049568,0.081340,0.025091,0.157829,0.670525,0.014129,0.162788,0.364619,0.136727,0.159835,0.071754,0.021609,0.039611,0.856268,-0.041542,-0.093720,1.087019,-0.001460,-0.177579,0.927462,-0.056907,-0.266425,0.776595,-0.025719,0.186879,1.082210,0.000027,0.263485,0.916278,-0.014644,0.339927,0.749143
0.021830,0.040782,0.800763,0.020485,-0.074531,0.667164,0.083840,-0.062048,0.367911,0.217734,-0.048839,0.080605,0.025728,0.158440,0.668740,0.010168,0.163311,0.363031,0.136689,0.160469,0.071861,0.026381,0.040580,0.854711,-0.037638,-0.091616,1.085827,-0.005312,-0.176323,0.924956,-0.054112,-0.266132,0.772525,-0.022337,0.189000,1.079609,-0.000065,0.265277,0.913019,-0.012937,0.341014,0.745416
0.025159,0.041002,0.799663,0.021781,-0.074360,0.666213,0.083427,-0.061946,0.366600,0.218394,-0.048526,0.079859,0.026709,0.158623,0.667549,0.008500,0.163508,0.361987,0.136835,0.160766,0.071626,0.030748,0.040873,0.853513,-0.034140,-0.090619,1.084769,-0.007908,-0.175853,0.923063,-0.051932,-0.266080,0.769482,-0.019594,0.190019,1.077582,0.000058,0.266124,0.910581,-0.011238,0.341342,0.742633
0.028358,0.040939,0.798772,0.023073,-0.074376,0.665413,0.083131,-0.062032,0.365474,0.218861,-0.048400,0.079141,0.027854,0.158610,0.666688,0.007973,0.163563,0.361230,0.137073,0.160899,0.071222,0.034901,0.040846,0.852513,-0.030853,-0.090182,1.083786,-0.009877,-0.175774,0.921498,-0.050073,-0.266110,0.766934,-0.017185,0.190480,1.075870,0.000272,0.266497,0.908582,-0.009558,0.341296,0.740358
0.030918,0.040220,0.798704,0.024127,-0.075204,0.665591,0.083847,-0.062683,0.365589,0.219499,-0.048501,0.079283,0.028748,0.157785,0.666538,0.009180,0.163123,0.361067,0.137393,0.160971,0.070664,0.038290,0.040186,0.852337,-0.028271,-0.090501,1.083580,-0.010872,-0.176459,0.921058,-0.048313,-0.266941,0.765889,-0.015199,0.190170,1.075136,0.000957,0.266594,0.907899,-0.007710,0.341592,0.739704
0.033035,0.039387,0.798849,0.024884,-0.076116,0.665969,0.084532,-0.063427,0.365959,0.220174,-0.048731,0.079705,0.029281,0.156876,0.666653,0.010408,0.162624,0.361146,0.137605,0.161021,0.070292,0.041192,0.039406,0.852368,-0.025897,-0.090945,1.083661,-0.011890,-0.177179,0.920953,-0.046987,-0.267639,0.765223,-0.013377,0.189730,1.074684,0.001496,0.266520,0.907493,-0.006219,0.341695,0.739334
0.034268,0.038322,0.799448,0.025043,-0.077200,0.666751,0.085155,-0.064362,0.366839,0.220936,-0.049239,0.080690,0.029099,0.155795,0.667297,0.011683,0.162004,0.361712,0.137605,0.161023,0.070292,0.043125,0.038378,0.852855,-0.023941,-0.091615,1.084371,-0.012954,-0.177973,0.921493,-0.046521,-0.268273,0.765334,-0.011873,0.189056,1.074832,0.001759,0.266129,0.907663,-0.005416,0.341447,0.739548
0.035101,0.037666,0.800060,0.024804,-0.077745,0.667434,0.085138,-0.065072,0.367559,0.221178,-0.049928,0.081539,0.028718,0.155247,0.668076,0.013238,0.161650,0.362392,0.137606,0.161025,0.070292,0.044612,0.037707,0.853353,-0.022256,-0.092216,1.084981,-0.013735,-0.178724,0.922032,-0.046074,-0.268940,0.765564,-0.010670,0.188462,1.075212,0.001899,0.265772,0.908067,-0.004878,0.341210,0.739992
