body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.026781,-0.036473,-0.008967,0.998935,0.026307,-0.025717,-0.023842,0.999039,0.008750,-0.200874,-0.022090,0.979329,0.008575,-0.154026,-0.016798,0.987887,0.025002,0.076221,-0.004047,0.996769,0.020190,-0.165160,0.000402,0.986060,0.020173,-0.141117,-0.000237,0.989787,0.021432,-0.114453,0.002933,0.993193,0.028724,-0.220862,0.178383,0.958423,-0.145877,-0.459542,0.170249,0.859393,-0.173958,-0.540312,0.177324,0.803964,0.001343,-0.143259,-0.186439,0.971965,0.146772,-0.629265,-0.136443,0.750911,0.159520,-0.643793,-0.142484,0.734699
0.028190,-0.020256,-0.007372,0.999370,0.027848,-0.022533,-0.023270,0.999087,0.006474,-0.210313,-0.021859,0.977368,0.006557,-0.143179,-0.011278,0.989611,0.026614,0.092264,-0.004337,0.995369,0.020177,-0.184302,0.000564,0.982662,0.020335,-0.150128,0.000854,0.988457,0.027135,-0.112794,0.007201,0.993222,0.038309,-0.193149,0.191923,0.961453,-0.163217,-0.487552,0.170482,0.840588,-0.194843,-0.583530,0.176309,0.768404,0.004991,-0.127450,-0.189467,0.973568,0.158474,-0.629115,-0.131128,0.749604,0.173349,-0.648142,-0.137367,0.728692
0.028832,-0.005749,-0.005937,0.999550,0.028583,-0.019334,-0.022540,0.999150,0.003910,-0.217804,-0.021623,0.975745,0.004191,-0.133190,-0.005874,0.991064,0.027483,0.105429,-0.004277,0.994038,0.019504,-0.199348,0.000719,0.979734,0.019841,-0.156266,0.001915,0.987514,0.030217,-0.112185,0.011108,0.993166,0.044705,-0.167302,0.201849,0.963986,-0.178959,-0.509236,0.166450,0.825195,-0.212133,-0.616715,0.170585,0.738622,0.006563,-0.113866,-0.190916,0.974958,0.166636,-0.629834,-0.125834,0.748136,0.183432,-0.652905,-0.132394,0.722869
0.027950,0.005329,-0.004829,0.999583,0.027771,-0.016100,-0.021567,0.999252,0.000842,-0.221432,-0.021333,0.974942,0.001332,-0.124918,-0.000806,0.992166,0.026784,0.112882,-0.003531,0.993241,0.017378,-0.206294,0.000855,0.978335,0.017868,-0.156672,0.002939,0.987485,0.028342,-0.113710,0.013729,0.993015,0.045606,-0.145597,0.204540,0.966895,-0.189785,-0.520213,0.157470,0.817657,-0.221611,-0.633595,0.160254,0.723716,0.003698,-0.104782,-0.189460,0.976275,0.167972,-0.632406,-0.121792,0.746334,0.186442,-0.658605,-0.129144,0.717496
0.027439,0.014931,-0.004469,0.999502,0.027331,-0.013270,-0.020687,0.999324,-0.001872,-0.223734,-0.021094,0.974420,-0.001054,-0.120095,0.004235,0.992753,0.026370,0.117177,-0.003286,0.992755,0.016468,-0.209581,0.000833,0.977652,0.017115,-0.155723,0.003902,0.987645,0.026226,-0.115628,0.015464,0.992826,0.045961,-0.128483,0.206320,0.968923,-0.198357,-0.528328,0.149330,0.811926,-0.228235,-0.643512,0.151933,0.714645,0.000709,-0.098133,-0.188588,0.977141,0.168786,-0.634819,-0.119075,0.744538,0.188836,-0.663428,-0.127516,0.712702
0.027112,0.023794,-0.004484,0.999339,0.027079,-0.010643,-0.019851,0.999380,-0.004407,-0.225372,-0.020887,0.974039,-0.003201,-0.117006,0.009250,0.993083,0.026098,0.119893,-0.003292,0.992438,0.016165,-0.211043,0.000753,0.977343,0.016967,-0.154096,0.004851,0.987898,0.023983,-0.117745,0.016711,0.992614,0.046024,-0.113669,0.207619,0.970492,-0.205715,-0.535024,0.141516,0.807096,-0.233384,-0.650034,0.144588,0.708578,-0.002353,-0.092703,-0.188033,0.977775,0.169348,-0.637147,-0.117047,0.742742,0.190926,-0.667800,-0.126735,0.708187
0.026627,0.031496,-0.003967,0.999141,0.026605,-0.010100,-0.019309,0.999408,-0.007715,-0.225577,-0.021055,0.973967,-0.006354,-0.112965,0.012713,0.993497,0.025881,0.119398,-0.003857,0.992502,0.015909,-0.209577,0.000008,0.977663,0.016835,-0.151874,0.005279,0.988242,0.022409,-0.119648,0.017613,0.992407,0.046184,-0.103635,0.208812,0.971352,-0.211509,-0.539555,0.135804,0.803555,-0.237324,-0.654550,0.139614,0.704094,-0.004682,-0.089635,-0.188990,0.977868,0.170794,-0.638790,-0.116624,0.741064,0.192475,-0.670968,-0.126529,0.704802
0.025988,0.038809,-0.003579,0.998902,0.025969,-0.010007,-0.018864,0.999435,-0.010687,-0.225850,-0.021239,0.973872,-0.009193,-0.109789,0.015755,0.993787,0.025488,0.118283,-0.004524,0.992642,0.015703,-0.207836,-0.000805,0.978037,0.016738,-0.150393,0.005567,0.988469,0.020947,-0.120945,0.018502,0.992266,0.046196,-0.094075,0.209763,0.972119,-0.216679,-0.543263,0.130148,0.800610,-0.240703,-0.658334,0.134725,0.700362,-0.006717,-0.086547,-0.189858,0.977966,0.172249,-0.640017,-0.116087,0.739752,0.193923,-0.673619,-0.126158,0.701937
0.025044,0.045344,-0.003451,0.998651,0.025022,-0.010811,-0.018613,0.999455,-0.012974,-0.226266,-0.021430,0.973743,-0.011358,-0.108320,0.017931,0.993889,0.024758,0.115929,-0.005393,0.992934,0.015611,-0.205546,-0.001752,0.978521,0.016737,-0.150393,0.005576,0.988469,0.019728,-0.121028,0.019423,0.992263,0.045946,-0.085473,0.210284,0.972812,-0.220832,-0.545352,0.124959,0.798880,-0.243263,-0.660655,0.130336,0.698120,-0.008171,-0.083436,-0.190522,0.978097,0.173711,-0.640438,-0.115332,0.739164,0.195165,-0.675280,-0.125477,0.700116
0.024350,0.051470,-0.003809,0.998370,0.024367,-0.011213,-0.018045,0.999477,-0.014418,-0.226769,-0.021144,0.973612,-0.012521,-0.108404,0.020636,0.993814,0.024134,0.112786,-0.005867,0.993309,0.015552,-0.202768,-0.002272,0.979101,0.016730,-0.150393,0.005579,0.988469,0.018590,-0.120823,0.019737,0.992304,0.045564,-0.078398,0.210833,0.973307,-0.224676,-0.546804,0.120447,0.797508,-0.245634,-0.662386,0.126664,0.696323,-0.009403,-0.080766,-0.191076,0.978202,0.174984,-0.640655,-0.114647,0.738782,0.196193,-0.676574,-0.124921,0.698678
0.023781,0.057390,-0.004410,0.998059,0.023864,-0.011414,-0.017320,0.999500,-0.015433,-0.227317,-0.020620,0.973480,-0.013172,-0.109266,0.023600,0.993645,0.023575,0.109247,-0.006147,0.993716,0.015523,-0.199747,-0.002580,0.979721,0.016734,-0.150393,0.005577,0.988469,0.017496,-0.120475,0.019739,0.992366,0.045104,-0.072087,0.211391,0.973695,-0.228349,-0.547934,0.116233,0.796313,-0.247888,-0.663825,0.123312,0.694753,-0.010526,-0.078320,-0.191584,0.978290,0.176164,-0.640770,-0.113998,0.738502,0.197114,-0.677684,-0.124430,0.697429
0.023372,0.062858,-0.005105,0.997736,0.023536,-0.011361,-0.016682,0.999519,-0.016163,-0.227863,-0.020140,0.973351,-0.013517,-0.110922,0.026243,0.993391,0.023173,0.105228,-0.006470,0.994157,0.015475,-0.196017,-0.002975,0.980474,0.016729,-0.149845,0.005599,0.988552,0.016503,-0.120828,0.019628,0.992342,0.044728,-0.067918,0.212039,0.973872,-0.231592,-0.548755,0.113127,0.795258,-0.249891,-0.664943,0.121112,0.693352,-0.011653,-0.076927,-0.191758,0.978353,0.176898,-0.641149,-0.113424,0.738085,0.197548,-0.678864,-0.124105,0.696215
0.022701,0.067929,-0.006376,0.997412,0.023007,-0.011131,-0.015998,0.999545,-0.016941,-0.228093,-0.019632,0.973294,-0.013877,-0.112795,0.028937,0.993100,0.022446,0.100762,-0.006792,0.994634,0.015420,-0.191579,-0.003348,0.981350,0.016715,-0.148859,0.005639,0.988701,0.015432,-0.121477,0.019591,0.992281,0.044284,-0.064356,0.212531,0.974027,-0.234691,-0.549510,0.110099,0.794252,-0.251756,-0.666010,0.119024,0.692014,-0.012942,-0.075702,-0.192128,0.978360,0.177574,-0.641406,-0.113175,0.737738,0.197929,-0.679854,-0.124126,0.695137
0.021509,0.072208,-0.008798,0.997119,0.022076,-0.010553,-0.015223,0.999585,-0.017816,-0.227693,-0.019065,0.973383,-0.014274,-0.115102,0.031735,0.992744,0.021090,0.095401,-0.007116,0.995190,0.015380,-0.185726,-0.003681,0.982474,0.016710,-0.146996,0.005710,0.988979,0.014196,-0.122719,0.019717,0.992144,0.043712,-0.062010,0.212724,0.974163,-0.237559,-0.550141,0.107316,0.793343,-0.253420,-0.666967,0.117237,0.690789,-0.014560,-0.074807,-0.192876,0.978259,0.178128,-0.641417,-0.113575,0.737533,0.198200,-0.680464,-0.124843,0.694334
