joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.152594,-0.050341,0.011112,-0.029177,0.015798,0.020037,0.043157,0.010644,0.156814,0.177245,0.309583,0.228522,0.054274,-0.095150,-0.048677,0.349795,-0.384314,0.011506,-0.000298,0.251207,-0.103677,0.575459,1.121789,0.024845,-0.001114,0.198159,0.043950,0.041190,-0.027525
0.178562,-0.050168,0.001491,-0.031925,0.012365,0.024019,0.051218,0.014176,0.186280,0.202742,0.380663,0.177662,0.023250,-0.136351,-0.069303,0.369020,-0.398782,0.022175,0.002002,0.274915,-0.114901,0.709879,1.158085,0.029517,-0.001251,0.241986,0.056796,0.046476,-0.031768
0.201108,-0.047675,-0.004649,-0.033986,0.009710,0.027540,0.058112,0.017443,0.214345,0.224361,0.437771,0.127796,-0.004286,-0.171894,-0.087501,0.382475,-0.409082,0.032301,0.004150,0.294590,-0.124829,0.824656,1.191074,0.033761,-0.001477,0.276964,0.068441,0.050000,-0.035981
0.216810,-0.040540,-0.003827,-0.034671,0.008608,0.030138,0.062673,0.020181,0.239608,0.238223,0.466933,0.079918,-0.024848,-0.196119,-0.100840,0.384393,-0.411043,0.041340,0.005996,0.306200,-0.132164,0.900146,1.217449,0.037149,-0.001883,0.294241,0.077683,0.050000,-0.040134
0.230393,-0.029995,-0.001670,-0.033979,0.007991,0.032723,0.067214,0.021179,0.262688,0.248568,0.482293,0.040591,-0.041152,-0.210695,-0.109454,0.386013,-0.412628,0.050397,0.008043,0.316172,-0.138542,0.958536,1.238397,0.040403,-0.002466,0.300000,0.085048,0.050000,-0.044447
0.242918,-0.017744,0.001154,-0.032599,0.007615,0.035300,0.071746,0.021308,0.284677,0.257153,0.490753,0.005539,-0.055327,-0.220448,-0.115705,0.387483,-0.414026,0.059462,0.010190,0.325326,-0.144443,1.008374,1.256631,0.043591,-0.003137,0.300000,0.091474,0.050000,-0.048841
0.257256,-0.001399,0.002478,-0.032898,0.004914,0.036079,0.077361,0.021826,0.303895,0.258603,0.486736,-0.019099,-0.064581,-0.229261,-0.117164,0.389054,-0.417893,0.065922,0.012552,0.333625,-0.149658,1.042984,1.268839,0.047003,-0.004063,0.300000,0.095859,0.050000,-0.049537
0.271722,0.015420,0.003259,-0.033108,0.002246,0.037155,0.081985,0.021921,0.321127,0.259313,0.480913,-0.041538,-0.072709,-0.236482,-0.116566,0.390040,-0.421559,0.071610,0.014742,0.341309,-0.154638,1.074314,1.279907,0.050305,-0.005025,0.300000,0.099881,0.050000,-0.050000
0.286446,0.033184,0.002954,-0.033141,-0.000357,0.038826,0.084628,0.021170,0.334388,0.258545,0.471477,-0.059578,-0.078583,-0.240519,-0.111856,0.389858,-0.424823,0.075754,0.016588,0.347765,-0.159146,1.099086,1.288693,0.053386,-0.006060,0.300000,0.103177,0.050000,-0.050000
0.299579,0.051767,0.003197,-0.031535,-0.001141,0.040327,0.086018,0.020266,0.346237,0.258806,0.459469,-0.073859,-0.083040,-0.241551,-0.106166,0.390793,-0.426644,0.080262,0.017549,0.353887,-0.163129,1.119160,1.295868,0.056499,-0.007136,0.300000,0.105986,0.050000,-0.050000
