joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
1.298404,0.008661,-0.481032,-0.137421,-0.171624,0.199083,0.403042,0.176601,1.473277,1.274867,3.554021,-2.543005,-1.551180,-2.060076,-1.031331,0.961246,-0.723439,0.533460,0.115015,1.185389,-0.561228,6.720981,1.814818,0.233605,-0.006853,2.191383,0.642301,0.264297,-0.212161
1.212852,0.066668,-0.394012,-0.120229,-0.152201,0.187558,0.373877,0.169981,1.438258,1.177907,3.204701,-2.518157,-1.463998,-1.918603,-0.970603,0.817019,-0.619206,0.519877,0.111224,1.084570,-0.528813,6.229909,1.732138,0.222905,-0.009091,1.970128,0.612271,0.220250,-0.211405
0.956196,0.240691,-0.132952,-0.068655,-0.093930,0.152984,0.286382,0.150120,1.333202,0.887027,2.156741,-2.443618,-1.202452,-1.494183,-0.788421,0.384339,-0.306509,0.479129,0.099849,0.782112,-0.431567,4.756688,1.484093,0.190806,-0.015806,1.306363,0.522183,0.088109,-0.209138
0.732141,0.441986,0.074470,0.000162,-0.042979,0.129578,0.227561,0.093396,1.208587,0.605166,1.113064,-2.180137,-0.921638,-0.970034,-0.548828,0.088430,-0.088660,0.452399,0.097303,0.539549,-0.342827,3.346999,1.183054,0.166063,-0.024713,0.575902,0.415177,0.000009,-0.211651
0.652714,0.569906,0.124542,0.051815,-0.024823,0.129043,0.226824,0.028171,1.126721,0.473255,0.595509,-1.859455,-0.761964,-0.608229,-0.371620,0.077245,-0.074584,0.453052,0.104859,0.478162,-0.306962,2.705690,0.979540,0.161049,-0.031359,0.143975,0.344758,0.000002,-0.217688
0.671562,0.714911,0.103708,0.027042,-0.076916,0.083906,0.253660,0.016159,1.030166,0.250876,0.111064,-1.492249,-0.585740,-0.464136,-0.192750,0.076026,-0.131620,0.388138,0.112743,0.436316,-0.277895,2.111208,0.761065,0.164989,-0.039928,0.000000,0.270269,-0.000000,-0.127231
0.720102,0.829102,0.052610,-0.012734,-0.134241,0.046378,0.255978,0.015319,0.911258,0.053992,-0.246018,-1.176944,-0.434566,-0.400844,-0.021536,0.063930,-0.188325,0.303705,0.113803,0.399579,-0.254886,1.648510,0.581905,0.167843,-0.047193,0.000000,0.210179,-0.000000,-0.028968
0.729755,0.864579,0.011892,-0.006089,-0.131778,0.068672,0.181686,-0.016395,0.762336,-0.001431,-0.381486,-1.011966,-0.350047,-0.281442,0.132707,0.020113,-0.173256,0.245805,0.100884,0.353515,-0.237194,1.402557,0.496337,0.159576,-0.049931,0.000000,0.182957,0.000000,-0.011587
0.696411,0.908684,-0.001550,0.039333,-0.084671,0.079298,0.100828,-0.041361,0.627749,-0.012670,-0.536075,-0.808026,-0.258271,-0.126737,0.260005,0.018811,-0.127131,0.216286,0.070158,0.314444,-0.212279,1.121134,0.399041,0.154850,-0.052771,0.000000,0.152637,0.000000,-0.000000
0.636742,0.939363,0.019007,0.100822,-0.016475,0.072943,0.053833,-0.047095,0.574791,0.025895,-0.632488,-0.667094,-0.205126,-0.014082,0.296711,0.060676,-0.073015,0.229907,0.036988,0.301902,-0.192599,0.944951,0.338665,0.156029,-0.054294,-0.000001,0.134378,-0.000000,0.000000
